id,no_of_bed,no_of_bath,neighbourhoodID,room_type_ID,price,number_of_reviews,rating,licenseID,calendar.count_demand
13815501,2,1,2,1,168,4,4.75,2,365
13829747,2,1,13,1,180,320,4.82,2,256
13831080,1,1,2,1,200,18,4.94,4,146
13843432,1,1,6,2,82,274,4.77,2,323
13858633,3,2,2,1,471,16,4.63,2,363
13885190,1,1,13,1,171,22,4.59,2,346
13991632,2,1,13,1,170,30,4.63,2,301
13993885,2,2,22,1,176,18,4.67,4,31
13994841,4,1,2,1,142,176,4.74,2,186
13998682,2,2,22,1,217,67,4.93,2,321
13999349,2,2,2,1,199,15,5,2,83
13999471,3,1.5,15,1,136,103,4.76,2,360
14014285,2,1,18,1,134,120,4.77,2,338
14015267,1,1,22,1,300,53,4.91,2,188
14027258,3,1,13,1,140,1,0,4,18
14029073,1,1,7,2,100,60,4.58,2,96
14074932,2,1,12,1,90,45,4.89,2,237
14077912,1,1,4,1,250,66,4.79,2,54
14107152,2,1,8,1,120,138,4.54,2,12
14112422,1,1,2,1,135,121,4.81,2,314
14112559,1,1,2,2,120,3,4.67,4,292
14127036,2,1,20,1,160,24,4.88,2,12
14143287,2,1.5,2,1,180,16,4.81,4,234
14167369,1,1.5,6,2,56,105,4.8,2,359
14168267,2,1,6,1,145,245,4.89,2,364
14180277,1,1.5,6,2,54,91,4.79,2,316
14194524,1,1,11,2,65,12,4.75,4,204
14216608,1,1,2,1,200,9,5,4,111
14222707,1,1,20,2,211,6,4.83,2,2
14237741,1,1,6,1,110,99,4.92,2,326
14237820,1,1,8,2,69,101,4.61,2,103
14248978,1,1,3,1,110,263,4.94,2,325
14261655,1,1,8,2,56,81,4.42,2,112
14296335,1,1,8,2,61,279,4.71,2,36
14320418,1,1,10,1,58,186,4.56,2,231
14406551,2,2,2,1,332,65,4.98,2,316
14419998,1,1,3,1,150,91,4.96,4,103
14524029,1,1,18,1,104,112,4.85,2,326
14538753,2,1,8,1,166,247,4.85,2,226
14569204,1,1,13,1,115,76,4.92,2,351
14570210,2,1,8,1,80,420,4.81,2,320
14595350,2,1,11,1,114,71,4.78,2,188
14607432,1,1,8,1,67,31,4.42,4,310
14612693,2,1,8,2,60,102,4.67,2,118
14613217,1,1,13,1,213,126,4.85,2,92
14613265,1,1,8,2,55,65,4.63,2,111
14616229,1,1,23,2,149,12,4.92,2,186
14674413,1,1,16,1,85,30,4.93,4,365
14688071,5,2,18,1,325,18,4.83,2,258
14372586,2,1,20,1,125,6,4.83,2,0
14711719,1,1,2,1,106,22,4.91,4,325
14724594,1,1,2,1,160,27,4.89,4,40
14752363,3,2,11,1,300,109,4.98,2,344
14775158,1,1,20,2,62,607,4.73,2,361
14787418,3,1,11,1,190,255,4.96,2,163
14802240,1,1,2,1,115,9,5,4,356
14809328,3,1,8,1,110,272,4.84,2,307
14811738,1,1.5,2,1,310,11,5,2,187
14831562,1,1.5,21,2,69,120,4.89,2,5
14831774,1,1,21,2,51,100,4.91,2,74
14836715,6,4.5,1,1,875,0,0,2,171
14843816,2,1,2,1,199,6,4.83,4,276
14844498,1,1,2,1,189,12,4.83,4,365
14856847,1,1,8,2,64,292,4.78,2,64
14887513,2,1,7,1,110,271,4.9,2,283
14929609,2,1.5,11,1,100,47,4.55,4,128
14992464,1,1,2,1,256,118,4.96,2,193
15008574,1,1,11,1,115,171,4.94,2,302
15037603,1,1,6,1,99,294,4.83,2,217
15040167,2,2,16,1,123,12,4.75,4,20
15041985,1,1,15,1,142,87,4.75,2,3
15043236,1,1,3,1,150,110,4.95,4,193
15086471,2,1.5,11,1,121,6,5,2,261
15111957,1,1,21,2,69,62,4.92,2,50
15149620,1,1,7,1,65,108,4.64,2,352
15161567,1,1,17,1,99,56,4.36,4,365
15197174,1,1,13,1,104,375,4.91,2,317
15260043,1,1,2,1,117,34,4.85,4,188
15272120,2,1,18,1,500,14,5,4,61
15280784,1,1,2,1,125,2,0,4,276
15287481,1,1,2,1,90,0,0,4,215
15288267,1,1,2,1,160,17,4.94,4,54
15300175,1,1,2,2,99,0,0,1,365
15312395,2,1,4,1,151,63,4.78,2,20
15316279,2,2,18,1,293,2,0,2,256
15321958,1,1,11,2,71,45,4.53,4,1
15329853,2,1,15,1,240,177,4.88,2,16
15330197,3,2,2,1,499,28,5,4,1
15363953,1,1,11,2,80,34,4.24,4,171
15424088,1,1,2,1,141,64,4.81,1,365
15471901,1,1,2,1,139,61,4.54,4,147
15481083,2,1,11,1,269,46,4.87,4,354
15504479,2,1,2,1,129,110,4.9,2,256
15514194,1,1,14,2,98,68,4.9,2,291
15541440,1,1,3,2,140,63,4.78,2,352
15542567,3,1,11,1,200,301,4.93,2,270
15582940,3,2,1,1,150,27,4.41,4,170
15635558,2,1,4,1,72,1,0,4,171
15642866,3,1,11,1,248,144,4.67,2,365
15646460,8,3,18,1,950,78,4.88,2,216
15648459,1,1.5,11,2,160,36,4.92,2,275
15706251,3,2,2,1,200,16,4.75,4,231
15803843,2,1,11,1,350,81,4.99,2,106
16026015,4,1,7,1,150,389,4.83,2,244
16083491,2,1,7,1,99,181,4.9,2,289
16146450,1,1,22,2,135,67,4.99,2,362
16166488,2,1,20,1,89,78,4.65,2,4
16177189,1,1,13,1,144,189,4.85,2,363
16191372,2,1.5,13,1,230,8,5,2,332
16203098,3,1,8,1,95,25,4.84,4,196
16232948,1,1,2,1,350,51,4.82,4,68
16233697,1,1,11,1,94,103,4.61,2,144
16243231,1,1,13,1,153,148,4.86,2,225
16259049,5,4,11,1,1200,59,4.78,2,365
16288021,1,1,2,1,125,11,5,4,123
16289980,1,1,13,2,75,118,4.98,2,341
16315060,2,1,2,1,125,494,4.81,2,347
16491812,1,1,18,1,100,148,4.8,2,343
16616603,1,1,15,2,147,13,4.23,4,100
16621051,1,1,11,1,100,4,4,2,305
16720749,2,1,13,1,150,270,4.92,2,309
16752966,5,2.5,11,1,649,7,4.71,2,329
16779964,2,2,3,1,250,8,5,2,356
16826920,1,1,23,1,95,26,4.85,4,353
